time	T	H	P
2025-03-05 02:10:33.504960	24.63	84.31	1008.11
2025-03-05 02:10:49.581625	24.62	84.44	1008.12
2025-03-05 02:11:05.652044	24.62	84.45	1008.11
2025-03-05 02:11:21.718910	24.62	84.45	1008.1
2025-03-05 02:11:37.790650	24.61	84.42	1008.1
2025-03-05 02:11:53.858852	24.61	84.41	1008.1
2025-03-05 02:12:09.929718	24.61	84.43	1008.11
2025-03-05 02:12:26.002629	24.6	84.48	1008.1
2025-03-05 02:12:42.072609	24.6	84.48	1008.09
2025-03-05 02:12:58.147618	24.6	84.49	1008.08
2025-03-05 02:13:14.217579	24.6	84.47	1008.12
2025-03-05 02:13:30.286695	24.6	84.46	1008.08
2025-03-05 02:13:46.355611	24.6	84.45	1008.14
2025-03-05 02:14:02.431902	24.6	84.48	1008.08
2025-03-05 02:14:18.510847	24.6	84.55	1008.11
2025-03-05 02:14:34.589343	24.59	84.59	1008.11
2025-03-05 02:14:50.661763	24.59	84.64	1008.1
2025-03-05 02:15:06.733663	24.59	84.67	1008.09
2025-03-05 02:15:22.801499	24.59	84.67	1008.08
2025-03-05 02:15:38.881941	24.6	84.61	1008.1
2025-03-05 02:15:54.957586	24.61	84.54	1008.09
2025-03-05 02:16:11.026450	24.62	84.5	1008.08
2025-03-05 02:16:27.092656	24.62	84.51	1008.07
2025-03-05 02:16:43.160614	24.62	84.51	1008.11
2025-03-05 02:16:59.233127	24.61	84.54	1008.08
2025-03-05 02:17:15.315198	24.61	84.7	1008.11
2025-03-05 02:17:31.397227	24.62	84.79	1008.07
2025-03-05 02:17:47.470525	24.63	84.8	1008.09
2025-03-05 02:18:03.549003	24.63	84.7	1008.1
2025-03-05 02:18:19.623762	24.63	84.65	1008.1
2025-03-05 02:18:35.691719	24.63	84.64	1008.11
2025-03-05 02:18:51.766439	24.64	84.61	1008.08
2025-03-05 02:19:07.844730	24.64	84.54	1008.12
